feature,permutation,native,mean_importance
Categorie_encoded,1.0,1.0,1.0
Famille_Produit_encoded,0.44715123228413667,0.6311302500057,0.5391407411449183
log_montant,0.27098867323126014,0.18806861419339949,0.2295286437123298
montant_x_anciennete,0.24930274916045342,0.17035313954996031,0.20982794435520685
ratio_montant_famille,0.18942455461323923,0.1893765485240998,0.18940055156866953
PNB_cumule,0.1962547669190053,0.15354081901145578,0.17489779296523056
Montant_demande,0.17166600261824796,0.17425787257474118,0.17296193759649459
ratio_pnb_montant,0.14707723831749128,0.1816715032227683,0.16437437077012979
ratio_pnb_median,0.16506346405600775,0.1626906739040848,0.16387706898004628
ratio_produits_anciennete,0.11998406283795339,0.15491783913960802,0.1374509509887807
Anciennete_annees,0.10985258125106719,0.13509982044452934,0.12247620084779826
log_anciennete,0.08196254766919014,0.1394848023721759,0.11072367502068302
taux_reclamations_annuel,0.10518526950879398,0.10934258547579695,0.10726392749229546
delai_x_produits,0.09198019238431332,0.11196765314170185,0.10197392276300758
Age_client,0.07849052308042602,0.12102593828696367,0.09975823068369485
Delai_traitement_jours,0.06636689623769179,0.0994626307166116,0.0829147634771517
mois,0.07029426831350705,0.08079542816367954,0.0755448482385933
is_high_value,0.10376230861175949,0.0009396163922151685,0.05235096250198733
jour_semaine,0.025840969890147395,0.05584609562116528,0.04084353275565634
Nb_produits,0.030792873811828297,0.047735182540448964,0.03926402817613863
segment_encoded,0.05623541465080517,0.005567005958929417,0.030901210304867293
Nb_reclamations_precedentes,0.017701633559110044,0.03347234708753852,0.02558699032332428
is_high_amount,0.02919915760714913,0.0009441005843719251,0.015071629095760528
est_weekend,0.009277705048665416,0.007986177778992872,0.008631941413829145
debut_mois,0.0029028402299504266,0.01088634021785486,0.006894590223902644
is_senior,0.0071717229210547795,0.005290263021033291,0.006230992971044035
fin_mois,0.0017644715123231965,0.009737203981149679,0.005750837746736437
is_frequent_claimer,0.001309124025272096,0.007229683780892101,0.004269403903082098
is_young,0.0,0.006569393882240854,0.003284696941120427
is_long_customer,0.0032443508452389075,0.0,0.0016221754226194538
