feature,permutation,native,mean_importance
taux_acceptation_montant,1.0,0.8874877633219468,0.9437438816609733
Montant de réponse,0.42191307976065173,1.0,0.7109565398803259
Catégorie_encoded,0.0,0.017405742704384428,0.008702871352192214
Famille Produit_encoded,0.0,0.014132458822169753,0.0070662294110848765
log_montant,0.0,0.0016790769341394633,0.0008395384670697317
Montant,0.0,0.0016298906357685528,0.0008149453178842764
Montant demandé,0.0,0.0015089600011674643,0.0007544800005837321
delai_x_montant,0.0,0.001417871331390764,0.000708935665695382
ratio_montant_famille,0.0,0.0009829569344346558,0.0004914784672173279
PNB analytique (vision commerciale) cumulé,0.0,0.0008257616089883983,0.00041288080449419914
montant_x_anciennete,0.0,0.0007885521247014563,0.00039427606235072814
ratio_pnb_montant,0.0,0.0007250209730412053,0.00036251048652060264
anciennete_annees,0.0,0.0005436413017697057,0.00027182065088485283
log_anciennete,0.0,0.0005411211788082424,0.0002705605894041212
Délai Estimé (j),0.0,0.000414401233357266,0.000207200616678633
jour_semaine,0.0,0.00020519632426653576,0.00010259816213326788
mois,0.0,0.00018664077955213694,9.332038977606847e-05
is_high_amount,0.0,7.658763955877437e-05,3.829381977938718e-05
debut_mois,0.0,5.97235036419299e-05,2.986175182096495e-05
is_high_value,0.0,5.5556460733355555e-05,2.7778230366677778e-05
is_banque_privee,0.0,5.02923365730876e-05,2.51461682865438e-05
is_canal_digital,0.0,4.134523212472807e-05,2.0672616062364034e-05
is_long_customer,0.0,3.659782804417329e-05,1.8298914022086645e-05
fin_mois,0.0,2.7779761793426944e-05,1.3889880896713472e-05
est_weekend,0.0,2.7163637237606555e-05,1.3581818618803277e-05
segment_numeric,0.0,9.359857946869586e-06,4.679928973434793e-06
is_priorite_haute,0.0,0.0,0.0
