number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.9986085232244408,2026-01-12 10:36:37.972907,2026-01-12 10:36:41.171480,0 days 00:00:03.198573,0.662397808134481,0.2904180608409973,0.2536999076681772,5,12,800,0.6245760287469893,0.002570603566117598,0.6624074561769746,COMPLETE
1,0.9988927833481978,2026-01-12 10:36:41.172402,2026-01-12 10:36:43.429737,0 days 00:00:02.257335,0.6727299868828402,0.9170225492671691,0.010725209743171997,8,17,1000,5.472429642032198e-06,0.00052821153945323,0.6849356442713105,COMPLETE
2,0.9988927833481978,2026-01-12 10:36:43.430718,2026-01-12 10:36:45.035261,0 days 00:00:01.604543,0.7465447373174767,2.28034992108518,0.02692655251486473,6,3,700,0.1165691561324743,6.267062696005991e-07,0.7168578594140873,COMPLETE
3,0.9988927833481978,2026-01-12 10:36:45.036160,2026-01-12 10:36:45.364326,0 days 00:00:00.328166,0.6260206371941118,4.7444276862666666,0.07500118950416987,7,13,100,4.905556676028774,0.18861495878553936,0.6682096494749166,COMPLETE
4,0.9988927833481978,2026-01-12 10:36:45.365431,2026-01-12 10:36:47.072367,0 days 00:00:01.706936,0.798070764044508,0.17194260557609198,0.013940346079873234,5,9,700,1.527156759251193,2.133142332373004e-06,0.6488152939379115,COMPLETE
5,0.9988927833481978,2026-01-12 10:36:47.073230,2026-01-12 10:36:48.340770,0 days 00:00:01.267540,0.9878338511058234,3.8756641168055728,0.028869220380495747,8,11,600,2.854239907497756,1.1309571585271483,0.6739417822102108,COMPLETE
6,0.9988927833481978,2026-01-12 10:36:48.341621,2026-01-12 10:36:48.610031,0 days 00:00:00.268410,0.7301321323053057,1.9433864484474102,0.22999586428143728,7,4,100,2.7678419414850017e-06,0.28749982347407854,0.6180909155642152,COMPLETE
7,0.9988927833481978,2026-01-12 10:36:48.610878,2026-01-12 10:36:49.906616,0 days 00:00:01.295738,0.6298202574719083,4.9344346830025865,0.026000059117302653,5,3,600,0.08916674715636537,6.143857495033091e-07,0.9208787923016158,COMPLETE
8,0.9982670087685621,2026-01-12 10:36:49.907497,2026-01-12 10:36:51.315318,0 days 00:00:01.407821,0.6296178606936361,1.7923286427213632,0.1601531217136121,3,15,800,1.1036250149900698e-07,0.5860448217200517,0.9085081386743783,COMPLETE
9,0.9979824092474698,2026-01-12 10:36:51.316066,2026-01-12 10:36:51.653922,0 days 00:00:00.337856,0.8918424713352255,3.1877873567760657,0.030816017044468066,7,7,100,0.9658611176861268,0.0001778010520878397,0.7300733288106989,COMPLETE
10,0.9988927833481978,2026-01-12 10:36:51.654775,2026-01-12 10:36:53.974568,0 days 00:00:02.319793,0.8760988294276582,1.2772172938259936,0.010206070557576998,10,20,1000,4.32747580263185e-05,0.00020590009861590298,0.8182873120328862,COMPLETE
11,0.9988927833481978,2026-01-12 10:36:53.975480,2026-01-12 10:36:56.024634,0 days 00:00:02.049154,0.7370063974951027,1.074533989118728,0.01699223047970666,10,18,1000,0.0029151336209232927,1.206208392511793e-08,0.7673936252831768,COMPLETE
12,0.9988927833481978,2026-01-12 10:36:56.025503,2026-01-12 10:36:56.995061,0 days 00:00:00.969558,0.715850780023381,2.6981005340139883,0.05826180253428544,9,1,400,0.0024710325668257605,4.46335721563918e-06,0.8404427663008558,COMPLETE
13,0.9988927833481978,2026-01-12 10:36:56.996092,2026-01-12 10:36:58.061307,0 days 00:00:01.065215,0.7987586652315627,1.2077746649016983,0.018923803763537805,6,16,400,1.3369008684330588e-05,0.006008851741384221,0.7286923691999562,COMPLETE
14,0.9988927833481978,2026-01-12 10:36:58.062102,2026-01-12 10:36:59.864757,0 days 00:00:01.802655,0.6939187182384499,2.4605091518089246,0.04424937591236206,3,7,900,1.3270711883989143e-07,6.573787083889816e-08,0.9840998651516015,COMPLETE
15,0.9979824092474698,2026-01-12 10:36:59.865551,2026-01-12 10:37:01.006327,0 days 00:00:01.140776,0.7673635839576047,3.3432286078364806,0.010433904133257729,8,8,400,0.010836930382935919,8.140090258454893e-05,0.7397546547042917,COMPLETE
16,0.9988927833481978,2026-01-12 10:37:01.007449,2026-01-12 10:37:02.643949,0 days 00:00:01.636500,0.8720139949842398,0.6408681310221989,0.08801819602632842,6,5,800,0.00020324704796895307,1.6807865461953592e-05,0.6034370752877032,COMPLETE
17,0.9988927833481978,2026-01-12 10:37:02.644725,2026-01-12 10:37:04.640562,0 days 00:00:01.995837,0.6732315708885338,1.930341292347695,0.042055725241708065,8,15,1000,1.4309033237222284e-06,0.007958814299071007,0.7801614469884962,COMPLETE
18,0.9988927833481978,2026-01-12 10:37:04.641830,2026-01-12 10:37:06.399066,0 days 00:00:01.757236,0.8366070683982904,2.4706345920565465,0.021069676640142868,4,1,700,0.01670746230920199,3.01696754644881e-07,0.6979002135771539,COMPLETE
19,0.9988927833481978,2026-01-12 10:37:06.399949,2026-01-12 10:37:07.761493,0 days 00:00:01.361544,0.7642025555264566,0.708880293396579,0.013991038367899857,9,20,500,0.00012104443336685521,1.5178298607415629e-05,0.855381725738542,COMPLETE
20,0.9988927833481978,2026-01-12 10:37:07.762355,2026-01-12 10:37:09.470679,0 days 00:00:01.708324,0.9614035607563236,3.9722762948702672,0.11005791941043674,6,17,900,1.2722974438529015e-08,8.80207501426475,0.7013707407110819,COMPLETE
